case_id,assertion_id,source,source_type,relationship,target,target_type,legacy_result,v1_result,legacy_reason,v1_reason,ontology_valid,evidence_supported,temporal_valid,contradiction_status,final_status,classification
C-006,02be8f26-17fd-494b-ba43-3321a4f03db2,E-99c627d3,PERSON,ASSOCIATED_WITH,E-4ea1d9bf,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-006,c081e435-be2c-44bf-919c-5c64e7bb6cda,E-26b4bf8c,ORGANIZATION,LOCATED_AT,E-ff3604a0,LOCATION,REJECTED,CONFIRMED,INVALID_PAIR,"ONTOLOGY_VALID, EVIDENCE_VERIFIED",True,True,True,False,CONFIRMED,LEGACY_FALSE_V1_TRUE
C-006,8f3df586-dd4f-4f30-ac13-0c1571725836,E-535d1951,ORGANIZATION,INVOLVED_IN,E-f2338762,PERSON,REJECTED,REJECTED,INVALID_PAIR,Target type 'netra:Person' invalid for 'netra:PARTICIPATED_IN'. Allowed: ['netra:Event'],False,True,True,False,REJECTED,LEGACY_FALSE_V1_FALSE
C-006,566ff0fb-0573-4d2a-bcc8-f58d750a5265,E-cadcf84f,PERSON,ASSOCIATED_WITH,E-41e081b5,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-006,f561c811-bd72-4b0c-bcae-5afa78b53f3e,E-cadcf84f,PERSON,ASSOCIATED_WITH,E-41e081b5,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-006,48b26be3-2626-43ca-870d-805a50ee86c4,E-cadcf84f,PERSON,LOCATED_AT,E-ff3604a0,LOCATION,CONFIRMED,CONFIRMED,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_VERIFIED",True,True,True,False,CONFIRMED,LEGACY_TRUE_V1_TRUE
C-006,bb265ad3-e91f-4293-9d07-d07e631cd21e,E-cadcf84f,PERSON,LOCATED_AT,E-ff3604a0,LOCATION,CONFIRMED,NEEDS_REVIEW,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_UNVERIFIED",True,False,True,False,NEEDS_REVIEW,LEGACY_TRUE_V1_FALSE
C-008,2813c993-da86-4a1b-8e91-a0febac1654f,E-5176589c,ORGANIZATION,ASSOCIATED_WITH,E-582d0d41,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-008,936b7958-4e74-4191-8a74-c853c0e7ce37,E-5176589c,ORGANIZATION,ASSOCIATED_WITH,E-582d0d41,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-008,f8b5972e-bdda-4ebf-ac26-49bee18e739c,E-5176589c,ORGANIZATION,ASSOCIATED_WITH,E-8a71091d,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-008,56f16bac-1256-4e1b-9c47-bfebc65002c7,E-5176589c,ORGANIZATION,ASSOCIATED_WITH,E-8a71091d,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-008,6f3cbe86-4305-4d18-ac5e-8ef4d36b928e,E-5176589c,ORGANIZATION,OWNS,E-000b4db9,ORGANIZATION,REJECTED,CONFIRMED,INVALID_PAIR,"ONTOLOGY_VALID, EVIDENCE_VERIFIED",True,True,True,False,CONFIRMED,LEGACY_FALSE_V1_TRUE
C-008,17ca81be-e737-45ae-b94b-67b753c72621,E-000b4db9,ORGANIZATION,OWNS,E-9744ba80,ORGANIZATION,REJECTED,CONFIRMED,INVALID_PAIR,"ONTOLOGY_VALID, EVIDENCE_VERIFIED",True,True,True,False,CONFIRMED,LEGACY_FALSE_V1_TRUE
C-008,8b909868-0315-4f40-af16-4b451cb1f910,E-33ee984a,ORGANIZATION,COMMUNICATES_WITH,E-5176589c,ORGANIZATION,REJECTED,CONFIRMED,INVALID_PAIR,"ONTOLOGY_VALID, EVIDENCE_VERIFIED",True,True,True,False,CONFIRMED,LEGACY_FALSE_V1_TRUE
C-008,f8ca3f7d-318d-4059-9bfc-ac0bb4f9a993,E-78e03545,ORGANIZATION,INVOLVED_IN,E-9744ba80,ORGANIZATION,REJECTED,REJECTED,INVALID_PAIR,Target type 'netra:Organization' invalid for 'netra:PARTICIPATED_IN'. Allowed: ['netra:Event'],False,True,True,False,REJECTED,LEGACY_FALSE_V1_FALSE
C-009,e62a634c-a39d-499c-821f-7710a17f42b3,E-4c2cecb2,PERSON,ASSOCIATED_WITH,E-9e8add79,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-009,dd166088-a33d-4192-ac8b-a6050547c1be,E-4c2cecb2,PERSON,ASSOCIATED_WITH,E-9e8add79,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-009,f18a3327-89c1-4c4e-b231-231dc90d2ac4,E-4c2cecb2,PERSON,USES,E-418c2c4d,PERSON,REJECTED,REJECTED,INVALID_PAIR,"Target type 'netra:Person' invalid for 'netra:USES'. Allowed: ['netra:Identifier', 'netra:Device']",False,True,True,False,REJECTED,LEGACY_FALSE_V1_FALSE
C-009,8fb3a34f-d07f-41c5-b14b-561a1a0a6f40,E-4c2cecb2,PERSON,ASSOCIATED_WITH,E-7b26c4be,ORGANIZATION,CONFIRMED,CONFIRMED,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_VERIFIED",True,True,True,False,CONFIRMED,LEGACY_TRUE_V1_TRUE
C-009,25415f8e-b49e-4ad0-9173-081c465864a5,E-4c2cecb2,PERSON,ASSOCIATED_WITH,E-7b26c4be,ORGANIZATION,CONFIRMED,NEEDS_REVIEW,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_UNVERIFIED",True,False,True,False,NEEDS_REVIEW,LEGACY_TRUE_V1_FALSE
C-009,72e11597-04b3-4018-b6bf-f884d3c7071a,E-acbdaeb0,ORGANIZATION,COMMUNICATES_WITH,E-72b638a7,PERSON,REJECTED,CONFIRMED,INVALID_PAIR,"ONTOLOGY_VALID, EVIDENCE_VERIFIED",True,True,True,False,CONFIRMED,LEGACY_FALSE_V1_TRUE
C-009,f46b5c5d-aca1-4a7f-b51d-ece47287b676,E-0e4e3720,ORGANIZATION,INVOLVED_IN,E-8460d0d3,PERSON,REJECTED,REJECTED,INVALID_PAIR,Target type 'netra:Person' invalid for 'netra:PARTICIPATED_IN'. Allowed: ['netra:Event'],False,True,True,False,REJECTED,LEGACY_FALSE_V1_FALSE
C-009,d52f8f51-01bf-458c-856c-339d63607fb5,E-418c2c4d,PERSON,LOCATED_AT,E-64b3a2b6,LOCATION,CONFIRMED,CONFIRMED,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_VERIFIED",True,True,True,False,CONFIRMED,LEGACY_TRUE_V1_TRUE
C-009,927b9888-ed6e-4781-9c3c-4f25ed35fb30,E-418c2c4d,PERSON,LOCATED_AT,E-64b3a2b6,LOCATION,CONFIRMED,NEEDS_REVIEW,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_UNVERIFIED",True,False,True,False,NEEDS_REVIEW,LEGACY_TRUE_V1_FALSE
C-009,f7015e0c-6207-44d3-89de-7807e95cd7ca,E-0bbb341c,ORGANIZATION,ASSOCIATED_WITH,E-4a1ed03a,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-009,d413eb77-81a8-4d88-8056-02bfa74dba35,E-0bbb341c,ORGANIZATION,ASSOCIATED_WITH,E-4a1ed03a,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-010,4b1ac431-4f09-4805-a4e2-62f3a5651053,E-6cd09490,PERSON,ASSOCIATED_WITH,E-f54954ab,ORGANIZATION,CONFIRMED,CONFIRMED,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_VERIFIED",True,True,True,False,CONFIRMED,LEGACY_TRUE_V1_TRUE
C-010,2201060a-b89b-48af-8af5-0768b23f4d56,E-6cd09490,PERSON,ASSOCIATED_WITH,E-f54954ab,ORGANIZATION,CONFIRMED,NEEDS_REVIEW,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_UNVERIFIED",True,False,True,False,NEEDS_REVIEW,LEGACY_TRUE_V1_FALSE
C-010,d8c83a39-b530-4611-b0fb-46b2825d80bf,E-f54954ab,ORGANIZATION,COMMUNICATES_WITH,E-e609f422,ORGANIZATION,REJECTED,CONFIRMED,INVALID_PAIR,"ONTOLOGY_VALID, EVIDENCE_VERIFIED",True,True,True,False,CONFIRMED,LEGACY_FALSE_V1_TRUE
C-010,06390110-01c8-4e57-966e-f34f7cd98900,E-c45bf367,PERSON,ASSOCIATED_WITH,E-f54954ab,ORGANIZATION,CONFIRMED,CONFIRMED,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_VERIFIED",True,True,True,False,CONFIRMED,LEGACY_TRUE_V1_TRUE
C-010,bd6dd127-00b8-4d68-a427-24bce75dc33c,E-c45bf367,PERSON,ASSOCIATED_WITH,E-f54954ab,ORGANIZATION,CONFIRMED,NEEDS_REVIEW,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_UNVERIFIED",True,False,True,False,NEEDS_REVIEW,LEGACY_TRUE_V1_FALSE
C-010,7160323a-a695-4531-9173-8f677337b786,E-52c29d59,ORGANIZATION,ASSOCIATED_WITH,E-ff72a31b,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-010,f7c507a0-2fd9-40cf-8fab-1b59d8c0ac26,E-52c29d59,ORGANIZATION,ASSOCIATED_WITH,E-ff72a31b,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-010,630569c4-daf8-4ac6-895f-260d562f8b7c,E-f6c30f58,PERSON,INVOLVED_IN,E-9988c712,PERSON,REJECTED,REJECTED,INVALID_PAIR,Target type 'netra:Person' invalid for 'netra:PARTICIPATED_IN'. Allowed: ['netra:Event'],False,True,True,False,REJECTED,LEGACY_FALSE_V1_FALSE
