case_id,assertion_id,source,source_type,relationship,target,target_type,legacy_result,v1_result,legacy_reason,v1_reason,ontology_valid,evidence_supported,temporal_valid,contradiction_status,final_status,classification
C-008,936b7958-4e74-4191-8a74-c853c0e7ce37,E-5176589c,ORGANIZATION,ASSOCIATED_WITH,E-582d0d41,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-008,f8b5972e-bdda-4ebf-ac26-49bee18e739c,E-5176589c,ORGANIZATION,ASSOCIATED_WITH,E-8a71091d,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-008,56f16bac-1256-4e1b-9c47-bfebc65002c7,E-5176589c,ORGANIZATION,ASSOCIATED_WITH,E-8a71091d,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-009,e62a634c-a39d-499c-821f-7710a17f42b3,E-4c2cecb2,PERSON,ASSOCIATED_WITH,E-9e8add79,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-009,dd166088-a33d-4192-ac8b-a6050547c1be,E-4c2cecb2,PERSON,ASSOCIATED_WITH,E-9e8add79,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-009,25415f8e-b49e-4ad0-9173-081c465864a5,E-4c2cecb2,PERSON,ASSOCIATED_WITH,E-7b26c4be,ORGANIZATION,CONFIRMED,NEEDS_REVIEW,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_UNVERIFIED",True,False,True,False,NEEDS_REVIEW,LEGACY_TRUE_V1_FALSE
C-009,927b9888-ed6e-4781-9c3c-4f25ed35fb30,E-418c2c4d,PERSON,LOCATED_AT,E-64b3a2b6,LOCATION,CONFIRMED,NEEDS_REVIEW,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_UNVERIFIED",True,False,True,False,NEEDS_REVIEW,LEGACY_TRUE_V1_FALSE
C-009,f7015e0c-6207-44d3-89de-7807e95cd7ca,E-0bbb341c,ORGANIZATION,ASSOCIATED_WITH,E-4a1ed03a,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-009,d413eb77-81a8-4d88-8056-02bfa74dba35,E-0bbb341c,ORGANIZATION,ASSOCIATED_WITH,E-4a1ed03a,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-010,2201060a-b89b-48af-8af5-0768b23f4d56,E-6cd09490,PERSON,ASSOCIATED_WITH,E-f54954ab,ORGANIZATION,CONFIRMED,NEEDS_REVIEW,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_UNVERIFIED",True,False,True,False,NEEDS_REVIEW,LEGACY_TRUE_V1_FALSE
C-010,bd6dd127-00b8-4d68-a427-24bce75dc33c,E-c45bf367,PERSON,ASSOCIATED_WITH,E-f54954ab,ORGANIZATION,CONFIRMED,NEEDS_REVIEW,SUPPORTED,"ONTOLOGY_VALID, EVIDENCE_UNVERIFIED",True,False,True,False,NEEDS_REVIEW,LEGACY_TRUE_V1_FALSE
C-010,7160323a-a695-4531-9173-8f677337b786,E-52c29d59,ORGANIZATION,ASSOCIATED_WITH,E-ff72a31b,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,True,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
C-010,f7c507a0-2fd9-40cf-8fab-1b59d8c0ac26,E-52c29d59,ORGANIZATION,ASSOCIATED_WITH,E-ff72a31b,PERSON,CONFIRMED,REJECTED,SUPPORTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']",False,False,True,False,REJECTED,LEGACY_TRUE_V1_FALSE
